iter	Passed	Remaining
403	12716	12464
404	12746	12431
405	12778	12400
406	12809	12369
407	12845	12341
408	12883	12316
409	12908	12278
410	12939	12246
411	12975	12219
412	13011	12192
413	13045	12163
414	13080	12134
415	13116	12107
416	13149	12077
417	13180	12045
418	13216	12017
419	13250	11988
420	13286	11960
421	13320	11931
422	13351	11899
423	13379	11864
424	13412	11834
425	13441	11800
426	13471	11767
427	13505	11738
428	13540	11710
429	13568	11674
430	13602	11645
431	13638	11618
432	13672	11588
433	13705	11558
434	13740	11529
435	13773	11499
436	13808	11470
437	13842	11440
438	13873	11408
439	13907	11378
440	13943	11351
441	13978	11322
442	14008	11288
443	14036	11254
444	14070	11224
445	14099	11191
446	14137	11164
447	14170	11133
448	14201	11101
449	14236	11072
450	14270	11043
451	14306	11014
452	14341	10985
453	14376	10956
454	14410	10926
455	14443	10896
456	14470	10860
457	14502	10829
458	14537	10800
459	14568	10768
460	14599	10735
461	14627	10701
462	14656	10668
463	14687	10635
464	14718	10603
465	14748	10570
466	14780	10539
467	14813	10508
468	14843	10475
469	14872	10442
470	14904	10410
471	14935	10379
472	14970	10349
473	15001	10317
474	15032	10285
475	15060	10251
476	15091	10219
477	15122	10187
478	15151	10153
479	15186	10124
480	15221	10094
481	15257	10066
482	15292	10036
483	15329	10008
484	15364	9978
485	15392	9944
486	15425	9914
487	15460	9884
488	15495	9854
489	15527	9823
490	15565	9795
491	15599	9765
492	15627	9731
493	15662	9701
494	15698	9672
495	15732	9642
496	15764	9611
497	15800	9581
498	15836	9552
499	15871	9522
500	15904	9491
501	15932	9457
502	15965	9426
503	15999	9396
504	16032	9365
505	16067	9335
506	16098	9303
507	16128	9270
508	16161	9239
509	16192	9207
510	16221	9174
511	16256	9144
512	16288	9112
513	16319	9080
514	16351	9048
515	16388	9019
516	16424	8990
517	16458	8959
518	16495	8930
519	16527	8899
520	16566	8871
521	16603	8842
522	16638	8812
523	16672	8781
524	16704	8750
525	16734	8717
526	16771	8688
527	16808	8659
528	16838	8625
529	16874	8596
530	16904	8563
531	16940	8534
532	16977	8504
533	17011	8473
534	17047	8444
535	17086	8415
536	17116	8383
537	17147	8350
538	17185	8321
539	17218	8290
540	17252	8259
541	17281	8226
542	17314	8194
543	17344	8162
544	17378	8131
545	17412	8100
546	17447	8069
547	17481	8039
548	17514	8007
549	17546	7975
550	17580	7944
551	17614	7913
552	17646	7882
553	17678	7850
554	17709	7817
555	17740	7785
556	17773	7753
557	17806	7722
558	17834	7689
559	17867	7657
560	17901	7626
561	17933	7594
562	17962	7561
563	17995	7530
564	18025	7497
565	18057	7465
566	18090	7434
567	18122	7402
568	18154	7370
569	18185	7337
570	18219	7307
571	18250	7274
572	18286	7244
573	18321	7213
574	18357	7183
575	18392	7152
576	18425	7121
577	18456	7088
578	18489	7057
579	18516	7023
580	18546	6990
581	18575	6957
582	18607	6925
583	18634	6892
584	18667	6860
585	18698	6828
586	18728	6795
587	18758	6763
588	18790	6731
589	18822	6699
590	18854	6667
591	18887	6636
592	18917	6603
593	18950	6572
594	18984	6540
595	19016	6509
596	19049	6477
597	19080	6445
598	19111	6413
599	19143	6381
600	19173	6348
601	19203	6316
602	19233	6283
603	19263	6251
604	19297	6219
605	19331	6188
606	19363	6156
607	19406	6128
608	19484	6110
609	19519	6079
610	19555	6048
611	19587	6017
612	19619	5985
613	19650	5952
614	19687	5922
615	19720	5890
616	19755	5859
617	19786	5827
618	19821	5795
619	19853	5763
620	19888	5732
621	19922	5701
622	19957	5670
623	19993	5639
624	20110	5631
625	20209	5617
626	20275	5594
627	20317	5564
628	20349	5532
629	20382	5499
630	20418	5468
631	20449	5435
632	20484	5404
633	20513	5370
634	20547	5339
635	20583	5307
636	20613	5274
637	20646	5242
638	20677	5209
639	20711	5177
640	20741	5144
641	20772	5112
642	20807	5080
643	20843	5048
644	20877	5017
645	20902	4983
646	20936	4950
647	20965	4917
648	21001	4886
649	21035	4854
650	21070	4822
651	21104	4790
652	21143	4759
653	21188	4730
654	21230	4699
655	21264	4667
656	21296	4635
657	21328	4602
658	21361	4570
659	21395	4538
660	21429	4506
661	21464	4474
662	21505	4443
663	21543	4412
664	21584	4381
665	21618	4349
666	21655	4318
667	21694	4287
668	21732	4255
669	21764	4222
670	21801	4191
671	21839	4159
672	21874	4127
673	21910	4096
674	21945	4063
675	21983	4032
676	22020	4000
677	22060	3969
678	22100	3938
679	22134	3906
680	22170	3874
681	22209	3842
682	22248	3811
683	22287	3779
684	22325	3748
685	22365	3716
686	22401	3684
687	22435	3652
688	22463	3618
689	22497	3586
690	22528	3553
691	22562	3521
692	22595	3488
693	22626	3455
694	22660	3423
695	22694	3391
696	22727	3358
697	22757	3325
698	22789	3292
699	22821	3260
700	22852	3227
701	22885	3194
702	22920	3162
703	22952	3129
704	22988	3097
705	23024	3065
706	23059	3033
707	23093	3000
708	23123	2967
709	23159	2935
710	23199	2903
711	23235	2871
712	23270	2839
713	23307	2807
714	23345	2775
715	23387	2743
716	23427	2711
717	23464	2679
718	23499	2647
719	23536	2615
720	23574	2583
721	23612	2550
722	23649	2518
723	23683	2486
724	23722	2454
725	23759	2421
726	23794	2389
727	23825	2356
728	23864	2324
729	23898	2291
730	23931	2258
731	23969	2226
732	24006	2194
733	24038	2161
734	24075	2129
735	24112	2096
736	24148	2064
737	24186	2031
738	24251	2001
739	24293	1969
740	24331	1937
741	24366	1904
742	24402	1872
743	24441	1839
744	24480	1807
745	24515	1774
746	24544	1741
747	24577	1708
748	24605	1675
749	24642	1642
750	24676	1610
751	24713	1577
752	24751	1544
753	24788	1512
754	24820	1479
755	24900	1449
756	24933	1416
757	24965	1383
758	25000	1350
759	25035	1317
760	25069	1284
761	25103	1251
762	25139	1219
763	25170	1186
764	25201	1153
765	25231	1119
766	25264	1086
767	25301	1054
768	25336	1021
769	25375	988
770	25407	955
771	25436	922
772	25467	889
773	25499	856
774	25535	823
775	25574	790
776	25613	758
777	25651	725
778	25695	692
779	25735	659
780	25772	626
781	25807	594
782	25846	561
783	25883	528
784	25920	495
785	25953	462
786	25990	429
787	26028	396
788	26066	363
789	26104	330
790	26133	297
791	26166	264
792	26203	231
793	26236	198
794	26267	165
795	26302	132
796	26336	99
797	26371	66
798	26409	33
799	26440	0
