iter	SurvivalAft
0	21.98035006
1	21.7559817
2	21.50907534
3	21.24037491
4	20.95178326
5	20.64525306
6	20.32421406
7	19.99171432
8	19.65476687
9	19.3240671
10	19.00462795
11	18.70109574
12	18.42736856
13	18.17928648
14	17.95565131
15	17.7765022
16	17.61864583
17	17.48811686
18	17.37857824
19	17.2579256
20	17.1464221
21	17.04285358
22	16.94611358
23	16.84944836
24	16.75903957
25	16.67413136
26	16.59167794
27	16.51220756
28	16.42712645
29	16.39769843
30	16.3240388
31	16.25810421
32	16.22711463
33	16.16465352
34	16.11307723
35	16.06916725
36	16.017706
37	15.9810083
38	15.94588105
39	15.89666215
40	15.88325655
41	15.83688598
42	15.79877513
43	15.76903622
44	15.73399029
45	15.71127195
46	15.67416817
47	15.64749528
48	15.6240695
49	15.59813098
50	15.57915836
51	15.56291192
52	15.54750649
53	15.53246167
54	15.51656427
55	15.49835562
56	15.49014968
57	15.48186971
58	15.46897285
59	15.45930984
60	15.44420077
61	15.43666293
62	15.42391494
63	15.41303742
64	15.40302344
65	15.39439056
66	15.38809173
67	15.37859527
68	15.37192734
69	15.3609957
70	15.35132547
71	15.34000854
72	15.33214982
73	15.32496725
74	15.31475298
75	15.30787006
76	15.30373385
77	15.29969918
78	15.29360593
79	15.28677028
80	15.27870058
81	15.27066232
82	15.2634699
83	15.25945198
84	15.25208004
85	15.24431571
86	15.23851856
87	15.23084727
88	15.22431762
89	15.21951382
90	15.21290744
91	15.20757685
92	15.20034715
93	15.19718458
94	15.19164225
95	15.1887959
96	15.18277452
97	15.18038661
98	15.17423196
99	15.17091952
100	15.16188499
101	15.15971921
102	15.15531716
103	15.15153669
104	15.14857444
105	15.1416129
106	15.13913861
107	15.13185859
108	15.12730865
109	15.12583229
110	15.12242313
111	15.12075775
112	15.11558966
113	15.10882426
114	15.10021465
115	15.09635928
116	15.09097279
117	15.08823962
118	15.0860353
119	15.08314359
120	15.07753364
121	15.07277571
122	15.06956205
123	15.06709542
124	15.06289726
125	15.06051795
126	15.0545461
127	15.05234463
128	15.04859124
129	15.0424127
130	15.0373423
131	15.03445695
132	15.02906771
133	15.02633
134	15.02426753
135	15.02136957
136	15.0174948
137	15.01349662
138	15.00992825
139	15.00365008
140	14.99829219
141	14.99136917
142	14.9881543
143	14.98432721
144	14.98159806
145	14.97749828
146	14.97432697
147	14.96911581
148	14.96174485
149	14.95807042
150	14.94901364
151	14.94353101
152	14.9390995
153	14.93239434
154	14.92939019
155	14.923267
156	14.91912726
157	14.91477703
158	14.9110194
159	14.90525147
