iter	SurvivalAft
160	14.90041304
161	14.8945613
162	14.89251627
163	14.88853749
164	14.88509843
165	14.8795597
166	14.87432478
167	14.86974908
168	14.86745144
169	14.8649681
170	14.8601245
171	14.85451828
172	14.84859105
173	14.84640463
174	14.84186959
175	14.8376119
176	14.83515263
177	14.82928652
178	14.82481582
179	14.81969152
180	14.81732376
181	14.81610121
182	14.81267316
183	14.80934087
184	14.80425716
185	14.80063297
186	14.79724876
187	14.79383943
188	14.78960534
189	14.78672267
190	14.7818075
191	14.77678762
192	14.77200944
193	14.77045787
194	14.7680363
195	14.76630376
196	14.75981431
197	14.75255211
198	14.74999969
199	14.74450618
200	14.7415623
201	14.7405249
202	14.73922706
203	14.73511016
204	14.73408169
205	14.73279841
206	14.73097395
207	14.72581685
208	14.72521778
209	14.72234172
210	14.71921295
211	14.71750581
212	14.71534986
213	14.71347802
214	14.70688315
215	14.70374801
216	14.70073533
217	14.69967772
218	14.69702233
219	14.69448498
220	14.68782111
221	14.68625315
222	14.68432468
223	14.68077998
224	14.67734047
225	14.67143609
226	14.66155119
227	14.65741877
228	14.65692863
229	14.65144342
230	14.64936155
231	14.64287899
232	14.63471875
233	14.63149294
234	14.62958136
235	14.62821938
236	14.62744773
237	14.6256444
238	14.61932719
239	14.61597586
240	14.61478555
241	14.61215422
242	14.61058007
243	14.60896911
244	14.60814101
245	14.60552086
246	14.60239749
247	14.60012749
248	14.59533929
249	14.59199362
250	14.59044694
251	14.58832101
252	14.58338651
253	14.57636116
254	14.57141567
255	14.56853807
256	14.56444824
257	14.56164895
258	14.56062089
259	14.55871306
260	14.55758982
261	14.55358081
262	14.54897731
263	14.54575234
264	14.54384258
265	14.54345173
266	14.54110101
267	14.53831302
268	14.53557435
269	14.53366472
270	14.53332529
271	14.53051844
272	14.52406017
273	14.52157343
274	14.52143204
275	14.51877843
276	14.51586199
277	14.51342378
278	14.51209994
279	14.50745456
280	14.50526626
281	14.49933789
282	14.49779332
283	14.4963333
284	14.49445395
285	14.49261882
286	14.48926152
287	14.48869064
288	14.48767377
289	14.48522897
290	14.48311978
291	14.48212615
292	14.47946166
293	14.47879326
294	14.47280049
295	14.4718482
296	14.46773205
297	14.46262549
298	14.46029799
299	14.45857056
300	14.45600845
301	14.45306914
302	14.45250478
303	14.45066497
304	14.44972984
305	14.44807473
306	14.4466143
307	14.44595957
308	14.43956088
309	14.43618364
310	14.43530096
311	14.43458468
312	14.42741687
313	14.4233167
314	14.42260833
315	14.4217001
316	14.41960781
317	14.41661548
318	14.41317003
319	14.41289742
320	14.40945274
321	14.40823601
322	14.40665232
323	14.4056363
324	14.40236064
325	14.40062233
326	14.39928088
327	14.3912606
328	14.39092253
329	14.39048854
330	14.38832672
331	14.38609097
332	14.3850274
333	14.38404431
334	14.38221176
335	14.38093778
336	14.37993241
337	14.37363358
338	14.37160044
339	14.37127886
340	14.37003528
341	14.36754619
342	14.36088294
343	14.3602121
344	14.35856581
345	14.35739746
346	14.3555576
347	14.35363478
348	14.35119373
349	14.35066616
350	14.34996381
351	14.34918161
352	14.34769302
353	14.34616521
354	14.34569436
355	14.34396546
356	14.34272471
357	14.3424107
358	14.34032438
359	14.337245
360	14.33620897
361	14.33519824
362	14.33321419
363	14.33159926
364	14.32864674
365	14.32734867
366	14.32749279
367	14.3247952
368	14.32226031
369	14.32194993
370	14.3214443
371	14.32039316
372	14.31974718
373	14.3187501
374	14.31873425
375	14.31614987
376	14.3143189
377	14.31257466
378	14.30997021
379	14.30935891
380	14.30679198
381	14.30636451
382	14.30340579
383	14.30068585
384	14.29797552
385	14.29569492
386	14.29522032
387	14.29447056
388	14.2944103
389	14.29271525
390	14.28601187
391	14.28527221
392	14.28152726
393	14.28102292
394	14.27886053
395	14.27865951
396	14.27540916
397	14.27432072
398	14.27258479
399	14.27201408
400	14.27044473
401	14.26956324
402	14.26666517
403	14.26453053
404	14.25694582
405	14.25620651
406	14.25523335
407	14.2521984
408	14.25181727
409	14.24897723
410	14.24391059
411	14.24276518
412	14.24169841
413	14.2414801
414	14.23999068
415	14.2381585
416	14.23300016
417	14.23227355
418	14.23187349
419	14.23027923
420	14.22820649
421	14.22776211
422	14.22654785
423	14.22246841
424	14.22092358
425	14.21616405
426	14.21556466
427	14.21497487
428	14.21285087
429	14.20734108
430	14.20460773
431	14.20355358
432	14.20043525
433	14.1983701
434	14.19835036
435	14.1950795
436	14.19277903
437	14.19069109
438	14.18860052
439	14.18718266
440	14.18682397
441	14.18655405
442	14.18571227
443	14.18123829
444	14.17969841
445	14.1763664
446	14.17576535
447	14.17548544
448	14.17275181
449	14.17157991
450	14.16827247
451	14.16647504
452	14.16575629
453	14.16460963
454	14.16172989
455	14.16009856
456	14.15562951
457	14.15488947
458	14.15289419
459	14.1515198
460	14.1509982
461	14.14969166
462	14.14585272
463	14.14545184
464	14.14429071
465	14.1420128
466	14.13942132
467	14.13671481
468	14.13202883
469	14.13108677
470	14.12985837
471	14.12910484
472	14.12886867
473	14.12633739
474	14.12554469
475	14.12515274
476	14.1237712
477	14.12236547
478	14.12058668
479	14.11984164
480	14.11701072
481	14.11502068
482	14.1138563
483	14.11242083
484	14.11156507
485	14.10956147
486	14.10896668
487	14.10877207
488	14.10722534
489	14.10532644
490	14.10417673
491	14.10347274
492	14.09973147
493	14.09875503
494	14.09819927
495	14.09741539
496	14.09633678
497	14.09541103
498	14.09430574
499	14.09295389
500	14.09268679
501	14.0901286
502	14.08924097
503	14.08812502
504	14.08667531
505	14.08487328
506	14.08480986
507	14.08200575
508	14.0806173
509	14.07981735
510	14.07786016
511	14.07616285
512	14.07543722
513	14.07473003
514	14.07261819
515	14.07254416
516	14.07141192
517	14.07074138
518	14.0683825
519	14.06742869
520	14.06658722
521	14.06652848
522	14.06544008
523	14.06476921
524	14.06377261
525	14.06172111
526	14.05883317
527	14.05854528
528	14.05357586
529	14.05328805
530	14.04967816
531	14.04910963
532	14.04815241
533	14.04682197
534	14.04656618
535	14.04561495
536	14.04291895
537	14.04237322
538	14.04210179
539	14.04127175
540	14.04062764
541	14.0394501
542	14.03940373
543	14.03586679
544	14.03556858
545	14.03508604
546	14.03473029
547	14.03306363
548	14.03239556
549	14.02990681
550	14.02899501
551	14.02732544
552	14.02615203
553	14.02516188
554	14.02407768
555	14.02397422
556	14.02228071
557	14.02097523
558	14.01970206
559	14.01877489
560	14.01792354
561	14.01737375
562	14.01492283
563	14.01453959
564	14.01397961
565	14.01343891
566	14.01326092
567	14.01195396
568	14.00733431
569	14.00651404
570	14.00554798
571	14.00068871
572	14.00048545
573	13.99873214
574	13.99645574
575	13.99593906
576	13.99447298
577	13.99361283
578	13.99150445
579	13.99084459
580	13.9898942
581	13.98764459
582	13.98732269
583	13.98283379
584	13.98111271
585	13.98104517
586	13.97872619
587	13.97841507
588	13.97787099
589	13.97720654
590	13.97608032
591	13.97586134
592	13.9750952
593	13.97440228
594	13.9728398
595	13.97208554
596	13.97085325
597	13.96898036
598	13.96873062
599	13.96751199
600	13.96742873
601	13.96643544
602	13.96249155
603	13.96237124
604	13.96137609
605	13.96032312
606	13.95903746
607	13.95870059
608	13.95841176
609	13.95692478
610	13.9568663
611	13.95680368
612	13.95506661
613	13.95447787
614	13.95429788
615	13.95329724
616	13.95265708
617	13.95185991
618	13.95117091
619	13.94915819
620	13.94888094
621	13.94746332
622	13.94534286
623	13.9424898
624	13.94099404
625	13.94051512
626	13.93926738
627	13.93778255
628	13.93662019
629	13.93638313
630	13.93529203
631	13.93296499
632	13.93278591
633	13.93243525
634	13.93179235
635	13.93124176
636	13.93098399
637	13.9307818
638	13.92877236
639	13.92871468
640	13.92850678
641	13.92773414
642	13.92655556
643	13.92602395
644	13.92539026
645	13.92324922
646	13.92048024
647	13.91925338
648	13.91766274
649	13.91725418
650	13.91700799
651	13.91459698
652	13.91317109
653	13.91260417
654	13.91253991
655	13.91154093
656	13.9093746
657	13.90890647
658	13.90878936
659	13.90697533
660	13.90532103
661	13.90328349
662	13.90226708
663	13.9012973
664	13.90044841
665	13.89957541
666	13.89875098
667	13.89836074
668	13.89737948
669	13.89414266
670	13.89369487
671	13.89360735
672	13.89301904
673	13.89160195
674	13.8878224
675	13.8859269
676	13.88341841
677	13.88284561
678	13.88257873
679	13.879893
680	13.87966018
681	13.87958966
682	13.87938538
683	13.8784653
684	13.87739294
685	13.87703499
686	13.87468053
687	13.87426584
688	13.87194531
689	13.87198652
690	13.87091889
691	13.87003632
692	13.86940862
693	13.86846989
694	13.86813989
695	13.86765117
696	13.86699392
697	13.86671924
698	13.8640987
699	13.86370332
700	13.85987471
701	13.8587598
702	13.85803903
703	13.8566625
704	13.85570769
705	13.85557269
706	13.85553389
707	13.85465389
708	13.85278699
709	13.85201491
710	13.8518613
711	13.85139331
712	13.85042947
713	13.85028102
714	13.84986919
715	13.84955083
716	13.84831825
717	13.84749264
718	13.8449045
719	13.84442218
720	13.84302325
721	13.84264398
722	13.84180648
723	13.84148114
724	13.84118011
725	13.84075416
726	13.83630226
727	13.83396416
728	13.83315125
729	13.83171954
730	13.83157262
731	13.83125545
732	13.83069594
733	13.82781074
734	13.82785031
735	13.8263768
736	13.82549104
737	13.82516969
738	13.82507196
739	13.82429076
740	13.82356746
741	13.82240121
742	13.82054147
743	13.81854099
744	13.81719451
745	13.8170103
746	13.81578445
747	13.81294479
748	13.81196542
749	13.81063618
750	13.80881308
751	13.80871409
752	13.8077866
753	13.80602836
754	13.80188626
755	13.80144403
756	13.80054231
757	13.79949953
758	13.79924451
759	13.79897237
760	13.79835368
761	13.79814152
762	13.79799589
763	13.79792661
764	13.79493104
765	13.79200245
766	13.79122778
767	13.79039277
768	13.78893927
769	13.78851623
770	13.78495155
771	13.78321479
772	13.77839099
773	13.77820932
774	13.77814568
775	13.77764253
776	13.77562349
777	13.77521607
778	13.77450584
779	13.77441014
780	13.77358507
781	13.77338982
782	13.77324257
783	13.77073304
784	13.77054398
785	13.76802807
786	13.76591451
787	13.76561671
788	13.7656024
789	13.76471291
790	13.76181932
791	13.76144886
792	13.7615689
793	13.76053122
794	13.75992625
795	13.75867382
796	13.75704925
797	13.75385484
798	13.75132453
799	13.7471435
